id,message,story,status,time,type,link,name,shares
1645368438926792_922973774499599,,,mobile_status_update,2016-11-30T07:22:01+0000,video,https://www.facebook.com/ebcmoney/videos/904091003026303/,東森財經,0
1645368438926792_921935814603395,,,shared_story,2016-11-28T16:07:20+0000,link,http://news.ebc.net.tw/news.php?nid=43774,幸福企業！鴻海員工股票分紅12/1發放 每人平均142萬,0
1645368438926792_921935731270070,,,shared_story,2016-11-28T16:07:16+0000,link,http://news.ebc.net.tw/news.php?nid=43774,幸福企業！鴻海員工股票分紅12/1發放 每人平均142萬,0
1645368438926792_921907134606263,看著自己的努力洽談而成功把一件件創客吧的作品拿到圖書館新咖啡館作為展示品時，內心只有滿足。#個人品牌的經營#出社會前的學習感謝劉庭瑋 吉米林謝佳芸蔡旻亨的幫忙,,added_photos,2016-11-28T15:17:56+0000,photo,https://www.facebook.com/photo.php?fbid=921907154606261&set=a.823028327827478&type=3,"Instagram photo by JIA SIN ? Nov 28, 2016 at 3:17pm UTC",0
1645368438926792_920528978077412,花是記憶，月是回憶,,shared_story,2016-11-26T15:13:46+0000,video,https://www.youtube.com/attribution_link?a=xoabo53QgqQ&u=%2Fwatch%3Fv%3DzTCaALLOWaI%26feature%3Dshare,魏如昀【秋鄉】官方完整版MV (HD),0
1645368438926792_919266698203640,如果要說我現在的心情，大概只能用（溫暖）來形容，一個團隊從剛組成到專案的展示帶給我的是滿滿的成就。不能否認的，一個專案在行進的過程中會遇到很多問題，爭吵、工作進度不如預期??等等的。在很多時候身為組長的我總覺得是自己的問題導致團隊的問題那麼多，但讓我感動的是每個組員對專案的重視遠遠超出我的預期，在卡關時會提醒我要開會、各自也都很積極的讓自己的技術更進一步，採用了各種手段～更會自己互相關心。今天的Ending雖然大家都沒說，但相信今晚的晚餐吃起來是甜的XD感謝 :  趙祐祥  謝坤傑  陳信龍#人果然要衣裝#為身為團隊的一份子開心,,added_photos,2016-11-24T11:37:26+0000,photo,https://www.facebook.com/photo.php?fbid=919266704870306&set=a.823028327827478&type=3,"Instagram photo by JIA SIN ? Nov 24, 2016 at 11:37am UTC",0
1645368438926792_918474161616227,,,mobile_status_update,2016-11-23T01:27:34+0000,status,,,0
1645368438926792_917375408392769,,,mobile_status_update,2016-11-21T05:15:33+0000,video,https://www.facebook.com/nissincupnoodle/videos/1106617469451972/,???????,0
1645368438926792_917293961734247,這?嚮往啊,,mobile_status_update,2016-11-21T01:03:37+0000,video,https://www.facebook.com/BToday/videos/10154521258558270/,今周刊,0
1645368438926792_916366625160314,,,mobile_status_update,2016-11-19T15:54:00+0000,video,https://www.facebook.com/appledaily.tw/videos/10155296382022069/,蘋果新聞網,0
1645368438926792_915727695224207,有種幸福叫家。在外面忙畢專、大專生、合作專案、社團、工讀、課業、比賽?等等除了開會還是開會，有時候忙的暈頭轉向在很多時候不能顧全，儘管大多數人不知道我的情況而有些誤會，但欣慰的是少數懂我的人還是懂我。當回到家有親人、愛狗的迎接時會發現在外面累積的疲憊會一掃而空，你說這樣的家我能不愛嗎？#學會接受困難,,added_photos,2016-11-18T14:38:01+0000,photo,https://www.facebook.com/photo.php?fbid=915727698557540&set=a.823028327827478&type=3,"Instagram photo by JIA SIN ? Nov 18, 2016 at 2:38pm UTC",0
1645368438926792_915629818567328,,,mobile_status_update,2016-11-18T10:45:50+0000,photo,https://www.facebook.com/PUMELON/photos/a.973361939386790/2305518092837828/?type=3,PU MELON 靜宜大學創客教育學習組織,0
1645368438926792_915204441943199,,,shared_story,2016-11-17T15:12:24+0000,link,https://www.youtube.com/attribution_link?a=Y2sGWQPUh7w&u=%2Fwatch%3Fv%3D2gFFSs-d5U8%26feature%3Dshare,曾婕《幸福的??》~ ???《如果?牛有?情》主?曲完整版 [XWill歌?版 | Theme Song],0
1645368438926792_915001405296836,,,mobile_status_update,2016-11-17T06:43:14+0000,video,https://www.facebook.com/wbtw.fanclub/videos/10154695707466950/,華納兄弟台灣粉絲俱樂部,0
1645368438926792_914683141995329,懷念的是那青澀的自己,,mobile_status_update,2016-11-16T16:11:08+0000,photo,https://www.facebook.com/1493782577572023/photos/a.1496586230624991/1809024099381201/?type=3,嘉中嘉女全國制服日-回。味。青。春,0
1645368438926792_912976625499314,,,shared_story,2016-11-13T15:12:11+0000,video,https://www.youtube.com/attribution_link?a=v8hX7rkv6Ik&u=%2Fwatch%3Fv%3DgZMNuZCKkWc%26feature%3Dshare,蒙面唱?猜猜猜 EP9 哈哈一笑很?城+感?自己萌萌? 《一次就好》 161113,0
1645368438926792_912135575583419,增肥高雄 Day2好久不見的朋友群～因為婚禮又聚在一起啦！#祝福一萬百年好合#高雄大巨蛋,,added_photos,2016-11-12T05:32:40+0000,photo,https://www.facebook.com/photo.php?fbid=912135588916751&set=a.823028327827478&type=3,"Instagram photo by JIA SIN ? Nov 12, 2016 at 5:32am UTC",0
1645368438926792_911043409025969,,,shared_story,2016-11-10T11:55:06+0000,video,https://www.youtube.com/attribution_link?a=9xGaVDGzTJk&u=%2Fwatch%3Fv%3DGXoZLPSw8U8%26feature%3Dshare,Colbie Caillat - Try,0
1645368438926792_909178162545827,每當我迷失在黑夜裡,,shared_story,2016-11-07T14:40:32+0000,video,https://www.youtube.com/attribution_link?a=eoaEADUn360&u=%2Fwatch%3Fv%3DD7tFdaBXkyE%26feature%3Dshare,【逃跑計畫-夜空中最亮的星】COVER by 花兒-林佳音,1
1645368438926792_908282549302055,,,mobile_status_update,2016-11-06T03:21:34+0000,video,https://www.facebook.com/news.ebc/videos/1131588996876190/,東森新聞,0
1645368438926792_907089379421372,87裡家信請記得登出唷鳩咪安潔拉跌倒祝福您 <3,,mobile_status_update,2016-11-04T06:05:39+0000,status,,,0
1645368438926792_906659179464392,想當初看得要死要活得 沒想到已多年過去,,shared_story,2016-11-03T15:12:59+0000,video,https://www.youtube.com/attribution_link?a=1hehjWy8_YU&u=%2Fwatch%3Fv%3D720IAEyVBsE%26feature%3Dshare,仙?奇??三- 此生不? (?卿和紫萱～ 景天和雪?）MV,0
